entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.3,1.0,2.5,18,48,12,0.65,0.53,short_only,0.15,0.03,0.7134904470479548,0.6634904470479548,0.13762729807259566,-0.09736120410115358,0.43243243243243246,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.58,0.53,short_only,0.08,0.03,0.7068639206430094,0.6568639206430094,0.13287317734678616,-0.09736120410115334,0.40540540540540543,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.6,0.53,short_only,0.1,0.03,0.7068639206430094,0.6568639206430094,0.13287317734678616,-0.09736120410115334,0.40540540540540543,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.63,0.53,short_only,0.13,0.03,0.7068639206430094,0.6568639206430094,0.13287317734678616,-0.09736120410115334,0.40540540540540543,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.65,0.53,short_only,0.15,0.03,0.7068639206430094,0.6568639206430094,0.13287317734678616,-0.09736120410115334,0.40540540540540543,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.58,0.53,short_only,0.08,0.03,0.6986435775125119,0.6486435775125119,0.1336057870861871,-0.09782148058098325,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.6,0.53,short_only,0.1,0.03,0.6986435775125119,0.6486435775125119,0.1336057870861871,-0.09782148058098325,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.63,0.53,short_only,0.13,0.03,0.6986435775125119,0.6486435775125119,0.1336057870861871,-0.09782148058098325,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.65,0.53,short_only,0.15,0.03,0.6986435775125119,0.6486435775125119,0.1336057870861871,-0.09782148058098325,0.43243243243243246,37,0,37,1.0
0.9,2.0,3.5,6,36,6,0.58,0.54,short_only,0.08,0.04,0.6947623796502224,0.6447623796502223,0.08418635695728893,-0.11473902143357127,0.5,20,0,20,1.0
0.9,2.0,3.5,6,36,6,0.6,0.54,short_only,0.1,0.04,0.6947623796502224,0.6447623796502223,0.08418635695728893,-0.11473902143357127,0.5,20,0,20,1.0
0.9,2.0,3.5,6,36,6,0.63,0.54,short_only,0.13,0.04,0.6947623796502224,0.6447623796502223,0.08418635695728893,-0.11473902143357127,0.5,20,0,20,1.0
0.9,2.0,3.5,6,36,6,0.65,0.54,short_only,0.15,0.04,0.6947623796502224,0.6447623796502223,0.08418635695728893,-0.11473902143357127,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.58,0.54,short_only,0.08,0.04,0.6929941881345681,0.6429941881345681,0.08421212641996467,-0.11313468378839898,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.6,0.54,short_only,0.1,0.04,0.6929941881345681,0.6429941881345681,0.08421212641996467,-0.11313468378839898,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.63,0.54,short_only,0.13,0.04,0.6929941881345681,0.6429941881345681,0.08421212641996467,-0.11313468378839898,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.65,0.54,short_only,0.15,0.04,0.6929941881345681,0.6429941881345681,0.08421212641996467,-0.11313468378839898,0.5,20,0,20,1.0
0.9,1.0,3.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.6830809683331568,0.6330809683331567,0.141588461171831,-0.07613138303488241,0.4358974358974359,39,0,39,1.0
0.9,1.0,3.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.6830809683331568,0.6330809683331567,0.141588461171831,-0.07613138303488241,0.4358974358974359,39,0,39,1.0
0.9,1.0,3.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.6830809683331568,0.6330809683331567,0.141588461171831,-0.07613138303488241,0.4358974358974359,39,0,39,1.0
0.9,1.0,3.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.6830809683331568,0.6330809683331567,0.141588461171831,-0.07613138303488241,0.4358974358974359,39,0,39,1.0
0.9,1.0,2.5,18,36,12,0.58,0.53,short_only,0.08,0.03,0.6827818103517459,0.6327818103517459,0.12692936299685575,-0.09782148058098275,0.40540540540540543,37,0,37,1.0
0.9,1.0,2.5,18,36,12,0.6,0.53,short_only,0.1,0.03,0.6827818103517459,0.6327818103517459,0.12692936299685575,-0.09782148058098275,0.40540540540540543,37,0,37,1.0
0.9,1.0,2.5,18,36,12,0.63,0.53,short_only,0.13,0.03,0.6827818103517459,0.6327818103517459,0.12692936299685575,-0.09782148058098275,0.40540540540540543,37,0,37,1.0
0.9,1.0,2.5,18,36,12,0.65,0.53,short_only,0.15,0.03,0.6827818103517459,0.6327818103517459,0.12692936299685575,-0.09782148058098275,0.40540540540540543,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.58,0.53,short_only,0.08,0.03,0.6768060757225514,0.6268060757225513,0.12849874561797514,-0.09227689807653536,0.40540540540540543,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.6,0.53,short_only,0.1,0.03,0.6768060757225514,0.6268060757225513,0.12849874561797514,-0.09227689807653536,0.40540540540540543,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.63,0.53,short_only,0.13,0.03,0.6768060757225514,0.6268060757225513,0.12849874561797514,-0.09227689807653536,0.40540540540540543,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.65,0.53,short_only,0.15,0.03,0.6768060757225514,0.6268060757225513,0.12849874561797514,-0.09227689807653536,0.40540540540540543,37,0,37,1.0
0.3,1.0,3.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.6705990098859271,0.6205990098859271,0.13914775373036448,-0.0761313830348804,0.38461538461538464,39,0,39,1.0
