long_threshold,short_threshold,neutral_max,edge_margin,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,long_ratio,short_ratio,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.42,0.5,0.4,0.03,0.0,1.0,3.0,12,24,6,both,0.9468505312153392,2.0492191648304896,1.6201207328454288,-0.17592717252132603,200,151,49,0.755,0.245,0.455,-0.0014010347618005005,always_long,1.558440174345451,2.331118032431337,-0.6115896431301118,-0.2818988676008476,330,0.700136612021858
0.42,0.5,0.5,0.03,0.0,1.0,3.0,12,24,6,both,0.9468505312153392,2.0492191648304896,1.6201207328454288,-0.17592717252132603,200,151,49,0.755,0.245,0.455,-0.0014010347618005005,always_long,1.558440174345451,2.331118032431337,-0.6115896431301118,-0.2818988676008476,330,0.700136612021858
0.42,0.5,0.6,0.03,0.0,1.0,3.0,12,24,6,both,0.9468505312153392,2.0492191648304896,1.6201207328454288,-0.17592717252132603,200,151,49,0.755,0.245,0.455,-0.0014010347618005005,always_long,1.558440174345451,2.331118032431337,-0.6115896431301118,-0.2818988676008476,330,0.700136612021858
0.42,0.5,0.7,0.03,0.0,1.0,3.0,12,24,6,both,0.9468505312153392,2.0492191648304896,1.6201207328454288,-0.17592717252132603,200,151,49,0.755,0.245,0.455,-0.0014010347618005005,always_long,1.558440174345451,2.331118032431337,-0.6115896431301118,-0.2818988676008476,330,0.700136612021858
0.46,0.5,0.4,0.03,0.0,1.0,2.5,6,24,2,both,0.7244119429167231,2.0442803201682533,1.6330409656064913,-0.19451891216874387,187,110,77,0.5882352941176471,0.4117647058823529,0.45454545454545453,-0.0015072977109543365,always_long,1.6527629186745663,2.561749466903944,-0.9283509757578432,-0.5174691467356904,455,0.7930327868852459
0.46,0.5,0.5,0.03,0.0,1.0,2.5,6,24,2,both,0.7244119429167231,2.0442803201682533,1.6330409656064913,-0.19451891216874387,187,110,77,0.5882352941176471,0.4117647058823529,0.45454545454545453,-0.0015072977109543365,always_long,1.6527629186745663,2.561749466903944,-0.9283509757578432,-0.5174691467356904,455,0.7930327868852459
0.46,0.5,0.6,0.03,0.0,1.0,2.5,6,24,2,both,0.7244119429167231,2.0442803201682533,1.6330409656064913,-0.19451891216874387,187,110,77,0.5882352941176471,0.4117647058823529,0.45454545454545453,-0.0015072977109543365,always_long,1.6527629186745663,2.561749466903944,-0.9283509757578432,-0.5174691467356904,455,0.7930327868852459
0.46,0.5,0.7,0.03,0.0,1.0,2.5,6,24,2,both,0.7244119429167231,2.0442803201682533,1.6330409656064913,-0.19451891216874387,187,110,77,0.5882352941176471,0.4117647058823529,0.45454545454545453,-0.0015072977109543365,always_long,1.6527629186745663,2.561749466903944,-0.9283509757578432,-0.5174691467356904,455,0.7930327868852459
0.46,0.5,0.4,0.03,0.0,1.0,3.0,12,72,2,both,0.8025353694906769,2.030470823877331,1.7662137742409185,-0.19703689138892766,139,85,54,0.6115107913669064,0.38848920863309355,0.3669064748201439,-0.010499999999999978,always_long,1.921437900897509,2.447285469315436,-1.1189025314068322,-0.41681464543810476,276,0.8745446265938069
0.46,0.5,0.5,0.03,0.0,1.0,3.0,12,72,2,both,0.8025353694906769,2.030470823877331,1.7662137742409185,-0.19703689138892766,139,85,54,0.6115107913669064,0.38848920863309355,0.3669064748201439,-0.010499999999999978,always_long,1.921437900897509,2.447285469315436,-1.1189025314068322,-0.41681464543810476,276,0.8745446265938069
0.46,0.5,0.6,0.03,0.0,1.0,3.0,12,72,2,both,0.8025353694906769,2.030470823877331,1.7662137742409185,-0.19703689138892766,139,85,54,0.6115107913669064,0.38848920863309355,0.3669064748201439,-0.010499999999999978,always_long,1.921437900897509,2.447285469315436,-1.1189025314068322,-0.41681464543810476,276,0.8745446265938069
0.46,0.5,0.7,0.03,0.0,1.0,3.0,12,72,2,both,0.8025353694906769,2.030470823877331,1.7662137742409185,-0.19703689138892766,139,85,54,0.6115107913669064,0.38848920863309355,0.3669064748201439,-0.010499999999999978,always_long,1.921437900897509,2.447285469315436,-1.1189025314068322,-0.41681464543810476,276,0.8745446265938069
0.46,0.46,0.4,0.03,0.0,2.0,3.0,6,72,2,both,0.8749841019129978,2.0275402905424422,2.1514266569927694,-0.15983136757687028,140,59,81,0.42142857142857143,0.5785714285714286,0.5,-2.110327093589174e-05,always_long,1.1610599197533586,1.8980755037538666,-0.28607581784036085,0.12946478678857565,224,0.898224043715847
0.46,0.46,0.5,0.03,0.0,2.0,3.0,6,72,2,both,0.8749841019129978,2.0275402905424422,2.1514266569927694,-0.15983136757687028,140,59,81,0.42142857142857143,0.5785714285714286,0.5,-2.110327093589174e-05,always_long,1.1610599197533586,1.8980755037538666,-0.28607581784036085,0.12946478678857565,224,0.898224043715847
