entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,long_threshold,short_threshold,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.6,2.0,2.5,6,24,2,short_only,0.63,0.37,-0.0943663556035188,-0.2878027418480572,-0.3067968671119346,-0.3326306683699473,299,0,299,0.45819397993311034,-0.0013774137358245136,always_short,-0.6361937746899047,-2.492232077745355,0.5418274190863859,2.2044293358972977,397,0.8194444444444444
0.0,1.0,1.0,6,24,2,short_only,0.63,0.37,-0.09508678359027123,-0.3096237938278269,-0.3006650742532966,-0.3316057427920731,405,0,405,0.5012345679012346,3.512450176523197e-05,always_short,-0.626968566553863,-2.5002304196119267,0.5318817829635918,2.1906066257841,577,0.7374772313296903
0.6,1.0,2.0,6,24,6,long_only,0.58,0.42,0.8106616671998743,1.9337259460299996,1.8167545374380705,-0.19248752731929392,328,328,0,0.45121951219512196,-0.003062248844830413,always_long,-0.0809860819466045,-0.255994069789967,0.8916477491464788,2.1897200158199666,395,0.6409380692167578
0.3,2.0,2.5,6,24,2,short_only,0.76,0.24,-0.045555238711608714,-0.15236387846197127,-0.1517354904526191,-0.32608813346934273,248,0,248,0.47580645161290325,-0.000857019336216769,always_short,-0.6153861962518927,-2.3357299711398025,0.569830957540284,2.183366092677831,397,0.8194444444444444
0.0,1.0,1.0,6,24,2,short_only,0.72,0.28,-0.08861602712264038,-0.31974458924652355,-0.2814456229134231,-0.32427744770671024,332,0,332,0.49698795180722893,-0.00030449845549455716,always_short,-0.626968566553863,-2.5002304196119267,0.5383525394312226,2.180485830365403,577,0.7374772313296903
0.0,2.0,2.0,6,24,2,short_only,0.72,0.28,-0.14899575141472643,-0.5163633406437105,-0.5288563901266511,-0.33009871992568696,269,0,269,0.483271375464684,-0.0006663115047435007,always_short,-0.6670882577652495,-2.6964000133500696,0.5180925063505231,2.1800366727063594,414,0.8117030965391621
0.6,2.0,2.5,6,24,2,short_only,0.76,0.24,-0.09103117437462205,-0.31288739050296965,-0.31244170169515384,-0.3341518464180226,248,0,248,0.4717741935483871,-0.001014785794404066,always_short,-0.6361937746899047,-2.492232077745355,0.5451626003152826,2.179344687242385,397,0.8194444444444444
0.0,1.0,2.0,6,72,6,long_only,0.65,0.35,1.654771582349591,3.221543214759245,3.27271350715076,-0.1651892102046302,279,279,0,0.45878136200716846,-0.010499999999999952,always_long,0.442320101705443,1.0543561390918252,1.212451480644148,2.16718707566742,326,0.7037795992714025
0.3,2.0,2.0,6,24,2,short_only,0.76,0.24,-0.16717067592391033,-0.6098538058883898,-0.599078698207786,-0.298719346063952,256,0,256,0.48828125,-0.0005268229759211953,always_short,-0.6719358195237508,-2.7737538441294216,0.5047651435998405,2.1639000382410316,414,0.8117030965391621
0.6,1.0,1.0,6,72,6,long_only,0.76,0.24,0.21562670884596136,0.7525863716267411,0.5667795662937734,-0.14564078119367033,274,274,0,0.5583941605839416,0.004522810644846087,always_long,-0.3847190786941749,-1.4072598394256488,0.6003457875401362,2.1598462110523897,421,0.6172586520947176
0.3,1.0,2.0,6,72,6,long_only,0.63,0.37,1.4366072326021335,2.9272980694512114,2.9563128054455663,-0.15593420547419834,282,282,0,0.46808510638297873,-0.00752106318956865,always_long,0.30375617266161603,0.7870481698952715,1.1328510599405175,2.14024989955594,326,0.7037795992714025
