trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,1.5,3.0,0.015,8,24,2,0.85,0.15,0.15,0.9927415594808022,0.9348251224275835,0.26542080330753715,-0.17093306396533825,0.4966442953020134,149,149,0
long_only,0.6,2.5,3.0,0.015,8,48,2,0.85,0.15,0.15,0.9924276356805241,0.9590476281234902,0.32200214724273435,-0.25829413648860167,0.5566037735849056,106,106,0
long_only,0.3,1.5,3.0,0.01,8,24,3,0.8,0.2,0.2,0.992339792692318,0.9574584075277633,0.2738315205825441,-0.13926393915368804,0.46994535519125685,183,183,0
long_only,0.3,2.5,2.0,0.01,4,48,3,0.8,0.2,0.2,0.9882840656261545,0.927124366729683,0.2829225881799229,-0.1886262192555906,0.5675675675675675,148,148,0
long_only,0.3,2.0,2.5,0.015,8,24,3,0.85,0.15,0.15,0.987790984123676,0.9269958382929399,0.260947331869678,-0.194169252304383,0.5277777777777778,144,144,0
long_only,0.3,1.5,2.5,0.015,8,24,3,0.85,0.15,0.15,0.9875404146749815,0.9306017580882192,0.25470566613846635,-0.166658090981066,0.5067567567567568,148,148,0
long_only,0.6,2.0,3.0,0.015,4,48,3,0.8,0.2,0.2,0.9871013183660972,0.9060450556726388,0.3171518513549296,-0.19557148378181546,0.5555555555555556,126,126,0
long_only,1.0,1.5,3.0,0.01,8,24,2,0.85,0.15,0.15,0.9859268679669695,0.9392861252824047,0.252890575392305,-0.17727156391363563,0.49382716049382713,162,162,0
long_only,0.6,1.5,3.0,0.01,8,24,2,0.8,0.2,0.2,0.9830765576116028,0.9515309428246158,0.2754679957324344,-0.15936425649340566,0.4574468085106383,188,188,0
long_only,0.3,1.5,3.0,0.01,4,48,3,0.8,0.2,0.2,0.9784252854570531,0.9227773150151413,0.2600127947448059,-0.16602407013571535,0.46357615894039733,151,151,0
long_only,0.3,2.0,2.5,0.015,4,48,2,0.8,0.2,0.2,0.9757196760977943,0.9025782906625183,0.3130495685829653,-0.20349701321315364,0.5447761194029851,134,134,0
long_only,0.3,2.0,3.0,0.01,8,24,2,0.85,0.15,0.15,0.9755552620112347,0.9259999146002963,0.25763504849977337,-0.17380298425054264,0.5157232704402516,159,159,0
long_only,0.6,1.5,3.0,0.01,4,24,3,0.85,0.15,0.15,0.9721219180874839,0.92981180586837,0.22482572215810648,-0.15262291335463204,0.484472049689441,161,161,0
long_only,0.3,2.0,3.0,0.015,8,48,3,0.8,0.2,0.2,0.970303096905858,0.8885912527266872,0.3166126378821936,-0.19178268755265562,0.552,125,125,0
