trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
both,0.3,2.0,3.0,0.015,8,48,3,0.9,0.1,0.1,2.1522430783115363,2.070157575257676,1.0195677117414643,-0.1408756605917392,0.5793103448275863,145,64,81
both,1.0,2.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.151579358522404,2.052434595710837,0.9071189954429286,-0.16297910435244026,0.5702479338842975,121,52,69
long_only,0.6,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.1495218519479566,2.160310025104187,0.548488212933123,-0.09343366084540404,0.5818181818181818,55,55,0
both,1.0,2.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.1480008508865294,2.0488517698968463,0.9110110724692131,-0.16609239448202165,0.5702479338842975,121,52,69
long_only,0.3,2.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.147717313099007,2.1599902071972394,0.5582292343013082,-0.10735935185750066,0.6296296296296297,54,54,0
long_only,1.0,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.146140222277932,2.155192363874462,0.5521150066897158,-0.10184600320721855,0.6071428571428571,56,56,0
long_only,0.6,1.5,3.0,0.01,4,48,2,0.925,0.075,0.075,2.1459153290964417,2.1501868122878887,0.47809593277360785,-0.08717179761865652,0.5333333333333333,60,60,0
long_only,0.3,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.1455026954068286,2.172618966680732,0.4935900706549021,-0.0918385481842581,0.5869565217391305,46,46,0
both,0.6,1.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1435709058969814,2.0740422629296873,0.7560121550872494,-0.10917737687453329,0.4803921568627451,102,46,56
long_only,0.3,2.0,3.0,0.015,8,48,3,0.925,0.075,0.075,2.143045210796771,2.153577865421055,0.562388880227294,-0.11029025967008096,0.6,55,55,0
long_only,1.0,2.0,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1401659973488383,2.1670900751892046,0.5002301194955177,-0.0926614638937877,0.5652173913043478,46,46,0
