entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.6,1.0,2.5,18,36,12,0.6,0.53,0.1,0.03,0.7306175119824524,0.6806175119824524,0.1373615702050559,-0.09757900426606585,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,36,12,0.63,0.53,0.13,0.03,0.7306175119824524,0.6806175119824524,0.1373615702050559,-0.09757900426606585,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,36,12,0.65,0.53,0.15,0.03,0.7306175119824524,0.6806175119824524,0.1373615702050559,-0.09757900426606585,0.43243243243243246,37,0,37,1.0
0.6,2.0,3.5,6,36,6,0.6,0.54,0.1,0.04,0.728215601912759,0.678215601912759,0.08874698908373602,-0.11274134545001764,0.5,20,0,20,1.0
0.6,2.0,3.5,6,36,6,0.63,0.54,0.13,0.04,0.728215601912759,0.678215601912759,0.08874698908373602,-0.11274134545001764,0.5,20,0,20,1.0
0.6,2.0,3.5,6,36,6,0.65,0.54,0.15,0.04,0.728215601912759,0.678215601912759,0.08874698908373602,-0.11274134545001764,0.5,20,0,20,1.0
0.9,1.0,2.5,18,36,3,0.6,0.53,0.1,0.03,0.7219751725621533,0.6719751725621532,0.1429415600849957,-0.07613138303488517,0.42857142857142855,42,0,42,1.0
0.9,1.0,2.5,18,36,3,0.63,0.53,0.13,0.03,0.7219751725621533,0.6719751725621532,0.1429415600849957,-0.07613138303488517,0.42857142857142855,42,0,42,1.0
0.9,1.0,2.5,18,36,3,0.65,0.53,0.15,0.03,0.7219751725621533,0.6719751725621532,0.1429415600849957,-0.07613138303488517,0.42857142857142855,42,0,42,1.0
0.3,1.0,2.5,18,24,12,0.6,0.53,0.1,0.03,0.720876527747711,0.670876527747711,0.13332804727560887,-0.09711885150678451,0.39473684210526316,38,0,38,1.0
0.3,1.0,2.5,18,24,12,0.63,0.53,0.13,0.03,0.720876527747711,0.670876527747711,0.13332804727560887,-0.09711885150678451,0.39473684210526316,38,0,38,1.0
0.3,1.0,2.5,18,24,12,0.65,0.53,0.15,0.03,0.720876527747711,0.670876527747711,0.13332804727560887,-0.09711885150678451,0.39473684210526316,38,0,38,1.0
0.6,1.0,3.5,18,48,3,0.6,0.53,0.1,0.03,0.7186838998023163,0.6686838998023162,0.15012856236119032,-0.07613138303488268,0.48717948717948717,39,0,39,1.0
0.6,1.0,3.5,18,48,3,0.63,0.53,0.13,0.03,0.7186838998023163,0.6686838998023162,0.15012856236119032,-0.07613138303488268,0.48717948717948717,39,0,39,1.0
0.6,1.0,3.5,18,48,3,0.65,0.53,0.15,0.03,0.7186838998023163,0.6686838998023162,0.15012856236119032,-0.07613138303488268,0.48717948717948717,39,0,39,1.0
0.9,1.0,3.5,18,48,2,0.6,0.53,0.1,0.03,0.7144530654678084,0.6644530654678084,0.1487493023902322,-0.0761313830348821,0.46153846153846156,39,0,39,1.0
0.9,1.0,3.5,18,48,2,0.63,0.53,0.13,0.03,0.7144530654678084,0.6644530654678084,0.1487493023902322,-0.0761313830348821,0.46153846153846156,39,0,39,1.0
0.9,1.0,3.5,18,48,2,0.65,0.53,0.15,0.03,0.7144530654678084,0.6644530654678084,0.1487493023902322,-0.0761313830348821,0.46153846153846156,39,0,39,1.0
